id,pictureURL
1,articlePictures/p1.jpg
2,articlePictures/p2.jpg
3,articlePictures/p3.jpg
4,articlePictures/p4.jpg
5,articlePictures/p5.jpg
6,articlePictures/p6.jpg
7,articlePictures/p7.jpg
8,articlePictures/p8.jpg
9,articlePictures/p9.jpg
10,articlePictures/p10.jpg
11,articlePictures/p11.jpg
12,articlePictures/p12.jpg
13,articlePictures/p13.jpg
14,articlePictures/p14.jpg
15,articlePictures/p15.jpg
16,articlePictures/p16.jpg
17,articlePictures/p17.jpg
18,articlePictures/p18.jpg
19,articlePictures/p19.jpg
20,articlePictures/p20.jpg
21,articlePictures/p21.jpg
22,articlePictures/p22.jpg
23,articlePictures/p23.jpg
24,articlePictures/p24.jpg
25,articlePictures/p25.jpg
26,articlePictures/p26.jpg
27,articlePictures/p27.jpg
28,articlePictures/p28.jpg
29,articlePictures/p29.jpg
30,articlePictures/p30.jpg
31,articlePictures/p31.jpg
32,articlePictures/p32.jpg
33,articlePictures/p33.jpg
34,articlePictures/p34.jpg
35,articlePictures/p35.jpg
36,articlePictures/p36.jpg
37,articlePictures/p37.jpg
38,articlePictures/p38.jpg
39,articlePictures/p39.jpg
40,articlePictures/p40.jpg
41,articlePictures/p41.jpg
